instrucciones_pasiva,instrucciones_activa,digitSpan_train,digits_train,fixation_time_train,answer_train,digitSpan,digits,fixation_time,answer,instrucloop_PR.thisRepN,instrucloop_PR.thisTrialN,instrucloop_PR.thisN,instrucloop_PR.thisIndex,trial_trainingPR.thisRepN,trial_trainingPR.thisTrialN,trial_trainingPR.thisN,trial_trainingPR.thisIndex,train_digitloopPR.thisRepN,train_digitloopPR.thisTrialN,train_digitloopPR.thisN,train_digitloopPR.thisIndex,trial_PR.thisRepN,trial_PR.thisTrialN,trial_PR.thisN,trial_PR.thisIndex,digitLoop_PR.thisRepN,digitLoop_PR.thisTrialN,digitLoop_PR.thisN,digitLoop_PR.thisIndex,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,correct,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,post_recall_training.started,post_recall_training.stopped,end_training.started,end_training.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,postrecallPR.started,postrecallPR.stopped,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,2,72,0.75,27.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,25.63751873584397,None,26.433678908991624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,2,72,0.75,27.0,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,27.416536560913755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,2,72,0.75,27.0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,28.4165825409641,None,27,28.4165825409641,None,30.24722857298866,None,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,2,81,0.35,18.0,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,31.721844506143043,None,32.077785108128865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,2,81,0.35,18.0,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,33.07781302458761,33.07781302458761,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,2,81,0.35,18.0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,1,34.07783970943865,None,18,34.07783970943865,None,36.19654418867549,None,,,,,,,,,,,,,,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,3,279.0,0.15,972.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,,,,,,,,37.19663655931299,None,39.23032105159609,None,41.38353848509678,41.38353848509678,42.3842737553673,None,972,42.3842737553673,None,45.26470427643153,None,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,3,148.0,0.95,841.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0,,,,,,,,,,46.7394544549129,None,49.6888361669221,49.6888361669221,50.68902657359522,None,,50.68902657359522,None,50.68904841411904,None,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,4,1652.0,0.35,2561.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,0,,,,,,,,,,52.16365818923123,None,55.51964969770188,55.51964969770188,56.519704216904394,None,,56.519704216904394,None,56.51978845892472,None,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,4,7093.0,0.55,3907.0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,0,,,,,,,,,,57.99434855916161,None,61.55405509148977,61.55405509148977,62.55405665152703,None,,62.55405665152703,None,62.55415731499443,None,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,5,10256.0,0.95,65201.0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,0,,,,,,,,,,64.02869031984437,None,68.97825759420039,68.97825759420039,69.97833920878983,None,,69.97833920878983,None,69.97823870953698,None,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,5,47319.0,0.35,91374.0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,0,,,,,,,,,,71.453017215013,None,75.80902637653753,75.80902637653753,76.80906168264801,None,5,76.80906168264801,None,77.97844808298078,None,,,,,,,wwww,001,2022-07-06_16h12.11.370,DigitSpanTask_PR2,2022.1.3,58.60242268232632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.99536217295145,None,3.05208333209157,3.3202908730827403,78.99536217295145,None,,,,,,,
