instrucciones_pasiva,instrucciones_activa,digitSpan_trainPF,digits_trainPF,fixation_time_trainPF,answer_trainPF,digitSpan_PF,digits_PF,fixation_time_PF,answer_PF,instrucloop_PF.thisRepN,instrucloop_PF.thisTrialN,instrucloop_PF.thisN,instrucloop_PF.thisIndex,trial_trainingPF.thisRepN,trial_trainingPF.thisTrialN,trial_trainingPF.thisN,trial_trainingPF.thisIndex,train_digitloopPF.thisRepN,train_digitloopPF.thisTrialN,train_digitloopPF.thisN,train_digitloopPF.thisIndex,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop_PF.thisRepN,digitLoop_PF.thisTrialN,digitLoop_PF.thisN,digitLoop_PF.thisIndex,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,83,0.55,38.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,35.98786090599606,None,36.54655768891098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,83,0.55,38.0,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,37.54658806847874,37.54658806847874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,83,0.55,38.0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,38.5632106095145,None,,38.5632106095145,None,1,[0.897127859730972],[0.8971331966749858],0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,16,0.55,61.0,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,39.919136613141745,None,40.47873903514119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,16,0.55,61.0,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,41.47873328765854,41.47873328765854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,2,16,0.55,61.0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,42.47897509246832,None,,42.47897509246832,None,2,"[0.897127859730972, 0.9313537087000441]","[0.8971331966749858, 0.9313598667213228]",0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,3,489.0,0.55,984.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,43.41114001729875,None,46.52981075592106,None,49.08986435530824,49.08986435530824,50.08941605166183,None,,50.08941605166183,None,1,[1.355302812269656],[1.3553114334936254],,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
,,,,,,3,235.0,0.55,532.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,,,51.92012559072464,None,54.48117925209226,54.48117925209226,55.48123097943608,None,,55.48123097943608,None,2,"[1.355302812269656, 0.965758550708415]","[1.3553114334936254, 0.9657688140578102]",,,,,,,1,001,2022-06-09_21h04.06.561,DigitSpanTask_PF,2022.1.3,58.930309869656526,
