start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.075925926,-0.380555556,1,0,0,cont_button,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,217,1,0.074074074,-0.380555556,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,484,0,0.074074074,-0.380555556,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,760,1,0.074074074,-0.380555556,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,5482,0,0.074074074,-0.422222222,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,25684,0,0.074074074,-0.422222222,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,3621,0,0.074074074,-0.422222222,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,01test,001,2022-05-03_14h10.39.608,Digit Span Task,2021.2.3,Win32,59.61962678,,,,,,,,,,,,,,,,,,,,,
