start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.084903797,-0.407902956,1,0,0,cont_button,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,1237,0,0.012315114,-0.378056526,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,486,1,-0.016279221,-0.375500202,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,760,1,0.071342866,-0.415706952,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,3141,1,0.076405843,-0.413487673,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,6351,1,0.05818518,-0.412252506,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,2391,1,0.140805403,-0.389635086,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,14932,1,0.072017988,-0.410682201,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,10646,1,0.055315256,-0.422899803,1,0,0,cont_button,0,1,1,1,1,5,10646,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,74832,1,0.015476545,-0.420579036,1,0,0,cont_button,0,2,2,2,1,5,74832,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,0,2,2,2,1,five.xlsx
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,93468,0,-0.002189954,-0.382164001,1,0,0,cont_button,0,0,0,0,1,6,934648,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,134790,0,-0.012122472,-0.37517341,1,0,0,cont_button,0,1,1,1,1,6,179390,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,108288,0,0.01986297,-0.421414057,1,0,0,cont_button,0,2,2,2,1,6,408288,,,,,,
,,,,,,,,,,,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,0,3,3,3,1,six.xlsx
,,,,,,0,0,0,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-05-03_11h36.07.083,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
