condition_file,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,instructions.started,instructions.stopped,cont_button_2.started,cont_button_2.stopped,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,start_mouse.started,start_mouse.stopped,fixation.started,fixation.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,cont_button.started,cont_button.stopped,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,feedback_text.started,feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,69.88429578352225,None,69.88429578352225,None,0.022135416,-0.4049479,1,0,0,cont_button,0.01573599192488473,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
three.xlsx,3,217,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,120.97111109925027,121.97149535952121,121.95417162558078,None,122.95445078902412,None,217,122.95445078902412,None,122.95445078902412,None,1,0.022135416,-0.4049479,1,0,0,cont_button,0.014818036750511965,None,126.93897404970267,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
three.xlsx,3,486,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,131.9054481620151,132.90581846411442,132.88885928479067,131.9054481620151,133.88925339789057,None,486,133.88925339789057,None,133.88925339789057,None,1,0.024739584,-0.4075521,1,0,0,cont_button,0.015077084008225938,None,137.68590581764147,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
three.xlsx,3,760,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,142.65396500357747,143.65419079754065,143.6370353827333,142.65396500357747,144.63750216043627,None,4760,144.63750216043627,None,144.63750216043627,None,0,0.059895832,-0.3971354,1,0,0,cont_button,0.015185465108515928,None,149.38475866114823,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
four.xlsx,4,3141,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,156.3523629748779,157.35281538387426,157.33591819525827,156.3523629748779,158.33607214568474,None,3141,158.33607214568474,None,158.33607214568474,None,1,0.05859375,-0.3984375,1,0,0,cont_button,0.015297541023755912,None,161.099216330731,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
four.xlsx,4,6351,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,168.04995999341554,169.05002034198333,169.033036941124,168.04995999341554,170.03362031061624,None,3655,170.03362031061624,None,170.03362031061624,None,0,0.05859375,-0.3984375,1,0,0,cont_button,0.015351321038906462,None,174.25436018406617,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
four.xlsx,4,2391,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,181.20449132930662,182.2047355973191,182.18808678206187,181.20449132930662,183.18806543426763,None,9874,183.18806543426763,None,183.18806543426763,None,0,0.05859375,-0.3984375,1,0,0,cont_button,0.015084473627211992,None,186.2566271554606,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
five.xlsx,5,14932,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,195.1907573088465,196.19053808343597,196.17387079412583,195.1907573088465,197.17380305593542,None,9999,197.17380305593542,None,197.17380305593542,None,0,0.05859375,-0.3984375,1,0,0,cont_button,0.0154260383133078,None,200.20835938516757,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
five.xlsx,5,10646,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,209.14337424035693,210.14275269115387,210.12646104089436,209.14337424035693,211.1429990118413,None,"9999
",211.1429990118413,None,211.1429990118413,None,0,0.05859375,-0.3984375,1,0,0,cont_button,0.015107463557797018,None,219.82266060006077,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
five.xlsx,5,74832,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,228.77349088551637,229.77370148970658,229.75671685724228,228.77349088551637,230.75689749241428,None,74832,230.75689749241428,None,230.75689749241428,None,1,0.05859375,-0.3984375,1,0,0,cont_button,0.014048284596356098,None,239.04712237909553,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
six.xlsx,6,934648,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,249.9827156773681,250.98283103755602,250.96594205962538,249.9827156773681,251.9660081556758,None,934648,251.9660081556758,None,251.9660081556758,None,1,0.05859375,-0.3984375,1,0,0,cont_button,0.015061483696626965,None,261.0194786294196,None,1,001,2022-06-07_16h16.48.085,Digit Span Task,2022.1.3,59.9717603152869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0022706662021,265.00270706435185,264.9856546937008,264.0022706662021,,,,,,,,,,,,,,,,,,,,,,,,,
