instrucciones_pasiva,instrucciones_activa,digitSpan_trainPR,digits_trainPR,fixation_time_trainPR,answer_trainPR,digitSpan_PR,digits_PR,fixation_time_PR,answer_PR,instrucloop_PR.thisRepN,instrucloop_PR.thisTrialN,instrucloop_PR.thisN,instrucloop_PR.thisIndex,trial_trainingPR.thisRepN,trial_trainingPR.thisTrialN,trial_trainingPR.thisN,trial_trainingPR.thisIndex,train_digitloopPR.thisRepN,train_digitloopPR.thisTrialN,train_digitloopPR.thisN,train_digitloopPR.thisIndex,trial_PR.thisRepN,trial_PR.thisTrialN,trial_PR.thisN,trial_PR.thisIndex,digitLoop_PR.thisRepN,digitLoop_PR.thisTrialN,digitLoop_PR.thisN,digitLoop_PR.thisIndex,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
instruccion2.png,instruccion2.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
instruccion3.png,instruccion3.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,2,80,0.75,8.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,37.65445682386053,None,38.43248370484798,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,2,80,0.75,8.0,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,39.43250505265314,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,2,80,0.75,8.0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,40.43356669481727,None,08,40.43356669481727,None,1,[5.237017565523274],[5.237022491928656],0,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,2,72,0.35,27.0,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,46.144602970045526,None,46.50236693653278,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,2,72,0.35,27.0,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,47.501168175862404,47.501168175862404,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,2,72,0.35,27.0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,48.5008680751489,None,27,48.5008680751489,None,2,"[5.237017565523274, 3.1541655496694148]","[5.237022491928656, 3.1541704761039]",0,,,,,,,,,,,,,,,1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,,,,,3,279.0,0.15,972.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,51.65592900052434,None,53.62287810121779,None,55.77525372055243,55.77525372055243,56.77570448743063,None,972,56.77570448743063,None,1,[6.812513419339666],[6.812517935235519],1,001,2022-06-09_18h28.56.251,DigitSpanTask_PR,2022.1.3,58.9765386653989,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06491371180164,None,67.03040007816162,67.03040007816162,,,,,,,,,,,,,,,
