instrucciones_pasiva,instrucciones_activa,digitSpan_trainAF,digits_trainAF,fixation_time_trainAF,answer_trainAF,digitSpan_AF,digits_AF,fixation_time_AF,answer_AF,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_trainingAF.thisRepN,trial_trainingAF.thisTrialN,trial_trainingAF.thisN,trial_trainingAF.thisIndex,train_digitloopAF.thisRepN,train_digitloopAF.thisTrialN,train_digitloopAF.thisN,train_digitloopAF.thisIndex,trial_AF.thisRepN,trial_AF.thisTrialN,trial_AF.thisN,trial_AF.thisIndex,digitLoop_AF.thisRepN,digitLoop_AF.thisTrialN,digitLoop_AF.thisN,digitLoop_AF.thisIndex,fixation_press_training.started,fixation_press_training.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,press_fixation.started,press_fixation.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
instruccion2.png,instruccion2.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
instruccion3.png,instruccion3.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,2,91,0.55,19,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,25.80593829913414,None,28.075786306959344,None,28.635067280440126,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,2,91,0.55,19,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,29.63508288076264,29.63508288076264,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,2,91,0.55,19,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,30.635226978367427,None,19,30.635226978367427,None,1,[6.373412309214473],[6.373418056697119],1,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,2,47,0.55,74,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,37.48474187031388,None,38.29923611850245,None,38.85766728562885,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,2,47,0.55,74,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,39.85794029105455,39.85794029105455,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,2,47,0.55,74,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,40.8580375877209,None,74,40.8580375877209,None,2,"[6.373412309214473, 5.490835844102548]","[6.373418056697119, 5.490839949430665]",1,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,,,,,3,385.0,0.55,583.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,46.349752386129694,None,52.02874767690082,None,55.07981118699536,None,57.639160719758365,57.639160719758365,58.63912089788937,None,583,58.63912089788937,None,1,[4.626249410357559],[4.626253926253412],1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,,,,,3,294.0,0.55,492.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0,,,63.742567375913495,None,71.3032692092238,None,73.86255510913907,73.86255510913907,74.86301449721213,None,,74.86301449721213,None,2,"[4.626249410357559, 0.7441027748573106]","[4.626253926253412, 0.7441072907240596]",1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
,,,,,,4,1358.0,0.55,8531.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,0,,,76.08325146592688,None,76.26953271735692,None,79.82922874120413,79.82922874120413,80.82921190929483,None,,80.82921190929483,None,3,"[4.626249410357559, 0.7441027748573106, 0.8464174092805479]","[4.626253926253412, 0.7441072907240596, 0.8464215146377683]",1,001,2022-06-09_17h41.43.847,DigitSpanTask_activeback,2022.1.3,58.94342919890345,
