digitSpan,digits,fixation_time,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,firs_fix.started,firs_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,correct,participant,session,date,expName,psychopyVersion,frameRate,
3,489,0.55,0,0,0,0,,,,,30.848936448855966,None,33.42555963034101,None,34.42695052115596,None,489,34.42695052115596,None,1,[6.287597055481456],[6.287603624034091],1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
3,235,0.55,0,1,1,1,,,,,40.71362017925276,None,43.273508743768616,43.273508743768616,44.27358346105029,None,489,44.27358346105029,None,2,"[6.287597055481456, 4.23683036181319]","[6.287603624034091, 4.236834877694491]",0,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
4,6810,0.55,0,2,2,2,,,,,48.51119137516798,None,52.07219864614308,None,53.07262560199888,None,6810,53.07262560199888,None,3,"[6.287597055481456, 4.23683036181319, 2.5436129251029342]","[6.287603624034091, 4.236834877694491, 2.543617440976959]",1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
4,3168,0.55,0,3,3,3,,,,,55.61673609488935,None,59.17657867955131,59.17657867955131,60.177433001801546,None,3168,60.177433001801546,None,4,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267]",1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
5,81423,0.55,0,4,4,4,,,,,63.61873457673937,None,68.18586373786093,None,69.1868962320732,None,81423,69.1868962320732,None,5,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017, 2.577486535497883]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267, 2.5774918724418967]",1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
5,90736,0.55,0,5,5,5,,,,,71.76466603636072,None,76.32620043360657,None,77.32598202926602,None,90736,77.32598202926602,None,6,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017, 2.577486535497883, 4.289435839411453]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267, 2.5774918724418967, 4.289442818495445]",1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
6,153624,0.55,0,6,6,6,,,,,81.61674143184064,None,87.18809252954816,None,88.18819187889312,None,624,88.18819187889312,None,7,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017, 2.577486535497883, 4.289435839411453, 2.9992351742621395]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267, 2.5774918724418967, 4.289442818495445, 2.9992396901434404]",0,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
6,819703,0.55,0,7,7,7,,,,,91.1889177038538,None,96.74985354182718,None,97.74989787954837,None,819703,97.74989787954837,None,8,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017, 2.577486535497883, 4.289435839411453, 2.9992351742621395, 3.829401986746234]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267, 2.5774918724418967, 4.289442818495445, 2.9992396901434404, 3.8294069131588913]",1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
7,1026597,0.55,0,8,8,8,,,,,101.58125893682882,None,108.14355446499394,None,109.14384635500755,None,1026597,109.14384635500755,None,9,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017, 2.577486535497883, 4.289435839411453, 2.9992351742621395, 3.829401986746234, 12.917796218076546]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267, 2.5774918724418967, 4.289442818495445, 2.9992396901434404, 3.8294069131588913, 12.917801144489204]",1,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
7,8765312,0.55,0,9,9,9,,,,,122.06104442435026,None,128.62323321355507,None,129.62321432896715,None,8735612,129.62321432896715,None,10,"[6.287597055481456, 4.23683036181319, 2.5436129251029342, 3.4412584688107017, 2.577486535497883, 4.289435839411453, 2.9992351742621395, 3.829401986746234, 12.917796218076546, 6.3391064060269855]","[6.287603624034091, 4.236834877694491, 2.543617440976959, 3.4412703743146267, 2.5774918724418967, 4.289442818495445, 2.9992396901434404, 3.8294069131588913, 12.917801144489204, 6.339111742970999]",0,1,001,2022-06-07_22h34.15.344,DigitSpanTask_fwdback,2022.1.3,58.77659407752987,
