digitSpan,digits,fixation_time,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,firs_fix.started,firs_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,correct,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,489,0.55,0,0,0,0,,,,,75.91147645030287,None,78.47117534789868,78.47117534789868,79.47203131228889,None,,79.47203131228889,None,1,[1.4908690973898047],[1.490874023802462],0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
3,235,0.55,0,1,1,1,,,,,80.96287741974083,None,83.522124729403,83.522124729403,84.52236366047146,None,,84.52236366047146,None,2,"[1.4908690973898047, 0.5750344130501617]","[1.490874023802462, 0.575039339462819]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
4,6810,0.55,0,2,2,2,,,,,85.09866621452966,None,88.6593688689245,88.6593688689245,89.65886350098299,None,,89.65886350098299,None,3,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924]","[1.490874023802462, 0.575039339462819, 0.4393851999848266]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
4,3168,0.55,0,3,3,3,,,,,90.09913627651258,None,93.65886596418568,93.65886596418568,94.65900841965049,None,,94.65900841965049,None,4,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
5,81423,0.55,0,4,4,4,,,,,95.13368891092978,None,99.69324945840344,99.69324945840344,100.69329790147458,None,,100.69329790147458,None,5,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058, 0.37197872281831224]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067, 0.3719836492309696]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
5,90736,0.55,0,5,5,5,,,,,101.06613094654313,None,105.62532693939283,105.62532693939283,106.6255276907541,None,,106.6255276907541,None,6,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058, 0.37197872281831224, 0.3718021929889801]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067, 0.3719836492309696, 0.3718071194089134]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
6,153624,0.55,0,6,6,6,,,,,106.99849046472082,None,112.55781208112603,112.55781208112603,113.55783301838528,None,,113.55783301838528,None,7,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058, 0.37197872281831224, 0.3718021929889801, 0.4398413037924911]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067, 0.3719836492309696, 0.3718071194089134, 0.439845819673792]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
6,819703,0.55,0,7,7,7,,,,,113.99876223854517,None,119.56590043142933,None,120.56116245300655,None,,120.56116245300655,None,8,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058, 0.37197872281831224, 0.3718021929889801, 0.4398413037924911, 1.3619120068615302]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067, 0.3719836492309696, 0.3718071194089134, 0.439845819673792, 1.3619189859455219]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
7,1026597,0.55,0,8,8,8,,,,,121.92010095863952,None,128.49170946146478,None,129.49157480615395,None,,129.49157480615395,None,9,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058, 0.37197872281831224, 0.3718021929889801, 0.4398413037924911, 1.3619120068615302, 1.8489253644220298]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067, 0.3719836492309696, 0.3718071194089134, 0.439845819673792, 1.3619189859455219, 1.8489302908346872]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
7,8765312,0.55,0,9,9,9,,,,,131.34180772289255,None,137.9015780534828,137.9015780534828,138.90173610925558,None,,138.90173610925558,None,10,"[1.4908690973898047, 0.5750344130501617, 0.43938027357216924, 0.4740696159788058, 0.37197872281831224, 0.3718021929889801, 0.4398413037924911, 1.3619120068615302, 1.8489253644220298, 1.2360585569986142]","[1.490874023802462, 0.575039339462819, 0.4393851999848266, 0.4740741318601067, 0.3719836492309696, 0.3718071194089134, 0.439845819673792, 1.3619189859455219, 1.8489302908346872, 1.2360634834112716]",0,,,,,,,1,001,2022-06-07_22h50.01.486,DigitSpanTask_fwdback,2022.1.3,58.9805371522114,
