instrucciones_pasiva,instrucciones_activa,digitSpan_train,digits_train,fixation_time_train,digitSpan_PF,digits_PF,fixation_time_PF,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_training.thisRepN,trial_training.thisTrialN,trial_training.thisN,trial_training.thisIndex,train_digitloop.thisRepN,train_digitloop.thisTrialN,train_digitloop.thisN,train_digitloop.thisIndex,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop_PF.thisRepN,digitLoop_PF.thisTrialN,digitLoop_PF.thisN,digitLoop_PF.thisIndex,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,"instruccion1_activa,png",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
instruccion2.png,instruccion2.png,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
instruccion3.png,instruccion3.png,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,2,83,0.55,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,77.8835658532189,None,78.44233817448549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,2,83,0.55,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,79.44261035884847,79.44261035884847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,2,83,0.55,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,80.44531085464405,None,,80.44531085464405,None,1,[1.0670780495856889],[1.0670842076069675],0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,2,16,0.55,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,81.51032678954653,None,82.07063574137283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,2,16,0.55,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,83.07070922704588,83.07070922704588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,2,16,0.55,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,84.0706862371153,None,,84.0706862371153,None,2,"[1.0670780495856889, 3.679061797345639]","[1.0670842076069675, 3.6790884820802603]",0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,3,489,0.55,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,87.75043034275586,None,88.71833968360443,None,91.2776888058288,91.2776888058288,92.27801928608096,None,489,92.27801928608096,None,1,[1.779103302382282],[1.779110692004906],,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,3,235,0.55,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,,,94.05766654665058,None,96.62114934052806,None,97.62203814767417,None,435,97.62203814767417,None,2,"[1.779103302382282, 2.1181115906510968]","[1.779110692004906, 2.11811651707103]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,4,6810,0.55,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1,,,99.74058901023818,None,103.30105848103995,103.30105848103995,104.30326099852391,None,6810,104.30326099852391,None,3,"[1.779103302382282, 2.1181115906510968, 2.406526841368759]","[1.779110692004906, 2.11811651707103, 2.4065317677741405]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,4,3168,0.55,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,,,106.71036464082135,None,110.26971129982849,110.26971129982849,111.27057342223998,None,,111.27057342223998,None,4,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,5,81423,0.55,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,,,111.82963475977886,None,116.39021507490543,None,117.38988869999594,None,,117.38988869999594,None,5,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,5,90736,0.55,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,,,117.81342603747908,None,122.37337618217862,122.37337618217862,123.383903928363,None,,123.383903928363,None,6,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,6,153624,0.55,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,,,123.80760383750021,None,129.3675650666264,129.3675650666264,130.36841405193263,None,,130.36841405193263,None,7,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694, 0.45624995637626853]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332, 0.45625529332028236]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,6,819703,0.55,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,,,130.82571579764772,None,136.3903731306782,None,137.38953769301588,None,,137.38953769301588,None,8,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694, 0.45624995637626853, 0.49087648700515274]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332, 0.45625529332028236, 0.490882234487799]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,7,1026597,0.55,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,,,137.881061592896,None,144.4450990188634,None,145.44512570359802,None,,145.44512570359802,None,9,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694, 0.45624995637626853, 0.49087648700515274, 0.5412917631620076]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332, 0.45625529332028236, 0.490882234487799, 0.5412975106446538]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,7,8765312,0.55,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,0,,,145.9874750035815,None,152.54949218936963,None,153.55010511734872,None,,153.55010511734872,None,10,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694, 0.45624995637626853, 0.49087648700515274, 0.5412917631620076, 0.9315770394605352]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332, 0.45625529332028236, 0.490882234487799, 0.5412975106446538, 0.9315823764191009]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,8,93261458,0.55,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,0,,,154.48218834582076,None,162.04782480357972,None,163.0479803961498,None,,163.0479803961498,None,11,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694, 0.45624995637626853, 0.49087648700515274, 0.5412917631620076, 0.9315770394605352, 0.7110646021174034]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332, 0.45625529332028236, 0.490882234487799, 0.5412975106446538, 0.9315823764191009, 0.7110695285227848]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
,,,,,8,50914738,0.55,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,0,,,163.75975275970995,None,171.3234301469347,None,172.3235487914062,None,,172.3235487914062,None,12,"[1.779103302382282, 2.1181115906510968, 2.406526841368759, 0.5587591841613175, 0.42257997108390555, 0.42259967674908694, 0.45624995637626853, 0.49087648700515274, 0.5412917631620076, 0.9315770394605352, 0.7110646021174034, 1.203839811088983]","[1.779110692004906, 2.11811651707103, 2.4065317677741405, 0.5587645211198833, 0.4225857185665518, 0.4226054242317332, 0.45625529332028236, 0.490882234487799, 0.5412975106446538, 0.9315823764191009, 0.7110695285227848, 1.2038476112502394]",,,,,,,1,001,2022-06-08_19h59.25.357,DigitSpanTask_fwdback,2022.1.3,59.00839880362958,
