start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.003166517,-0.406866153,1,0,0,cont_button,0,0,0,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,217,1,-0.090403398,-0.388269981,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,486,1,-0.070432186,-0.396442334,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-02-14_14h24.09.426,Digit Span Task,2021.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,
