start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.023148148,-0.402777778,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,217,1,-0.013888889,-0.407407407,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,222,0,-0.075925926,-0.418518519,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-26_15h42.37.110,Digit Span Task,2021.2.3,Win32,74.2721331,,,,,,,,,,,,,,,
