start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.046875,-0.40625,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,17,0,0.046875,-0.40625,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,486,1,0.046875,-0.407552083,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,"760
",0,0.046875,-0.407552083,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,,001,2022-04-28_23h59.52.054,Digit Span Task,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
