start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.076822917,-0.404947917,1,0,0,cont_button,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,"217
",0,0.09765625,-0.390625,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,486,1,0.12890625,-0.397135417,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,"760
",0,0.111979167,-0.391927083,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,0,0.07421875,-0.399739583,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,6351,1,0.07421875,-0.399739583,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,2391,1,0.072916667,-0.399739583,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,14932,1,0.072916667,-0.399739583,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,10646,1,0.067708333,-0.415364583,1,0,0,cont_button,0,1,1,1,1,5,10646,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,74832,1,0.06640625,-0.3984375,1,0,0,cont_button,0,2,2,2,1,5,74832,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,0,2,2,2,1,five.xlsx
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,934648,1,0.06640625,-0.3984375,1,0,0,cont_button,0,0,0,0,1,6,934648,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,0,0.06640625,-0.3984375,1,0,0,cont_button,0,1,1,1,1,6,179390,,,,,,
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,0,0.06640625,-0.3984375,1,0,0,cont_button,0,2,2,2,1,6,408288,,,,,,
,,,,,,,,,,,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,0,3,3,3,1,six.xlsx
,,,,,,0,0,0,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,RL,001,2022-05-13_12h42.23.275,Digit Span Task,2021.2.3,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,
