start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.013333259,-0.38583336,1,0,0,cont_button,0,0,0,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,217,1,0.009166742,-0.392500027,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,486,1,-0.008333259,-0.407500027,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,760,1,-0.016666643,-0.395000027,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,a,001,2022-02-26_17h09.09.633,Digit Span Task,2021.2.3,Win32,61.03143119,,,,,,,,,,,,,,,,,,,,,
