start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.045370384,-0.386111181,1,0,0,cont_button,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,"217
",0,0.072222237,-0.402777791,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,486,1,0.056481496,-0.389814828,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,760,1,-0.006481468,-0.403703717,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,3414,0,0.067592607,-0.41666668,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,6351,1,-0.016666597,-0.381481551,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,2391,1,0.111111126,-0.419444458,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,14392,0,0.027777791,-0.401851865,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,10646,1,0.075000014,-0.379629643,1,0,0,cont_button,0,1,1,1,1,5,10646,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,74832,1,0.10555557,-0.387962976,1,0,0,cont_button,0,2,2,2,1,5,74832,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,0,2,2,2,1,five.xlsx
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,934648,1,-0.002777708,-0.383333346,1,0,0,cont_button,0,0,0,0,1,6,934648,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,173930,0,0.062962977,-0.39537044,1,0,0,cont_button,0,1,1,1,1,6,179390,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,408288,1,0.133333349,-0.40000007,1,0,0,cont_button,0,2,2,2,1,6,408288,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,0,3,3,3,1,six.xlsx
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,4497,0,0.089814829,-0.392592606,1,0,0,cont_button,0,0,0,0,1,7,4498237,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,2544371,1,0.02592594,-0.411111125,1,0,0,cont_button,0,1,1,1,1,7,2544371,,,,,,
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,8875085,1,0.077777792,-0.375925939,1,0,0,cont_button,0,2,2,2,1,7,8875085,,,,,,
,,,,,,,,,,,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,0,4,4,4,1,seven.xlsx
,,,,,,0,0,0,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,0,7,0,1,ben,001,2022-02-14_15h39.36.390,Digit Span Task,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,
