start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.067592593,-0.4,1,0,0,cont_button,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,217,1,0.060185185,-0.405555556,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,486,1,-0.088888889,-0.411111111,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,760,1,0.07037037,-0.418518519,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,3141,1,0.003703704,-0.414814815,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,6351,1,0.032407407,-0.412037037,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,2391,1,-0.021296296,-0.427777778,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,14932,1,0.05462963,-0.431481481,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,10646,1,-0.037037037,-0.403703704,1,0,0,cont_button,0,1,1,1,1,5,10646,,,,,,
,,,,,,0,0,0,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,dddd,001,2022-05-17_17h49.43.900,Digit Span Task,2021.2.3,Win32,60.48509043,,,,,,,,,,,,,,,,,,,,,
