start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.008333307,-0.403703731,1,0,0,cont_button,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,10,0,-0.008333307,-0.403703731,0,0,1,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,18,0,-0.018518493,-0.399074157,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,13,0,-0.01759251,-0.395370397,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,9,0,-0.01759251,-0.395370397,0,0,1,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,19,0,0.037037065,-0.409259286,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,19,0,0.052777806,-0.403703731,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,f,001,2022-03-31_16h08.50.103,Digit Span Task,2021.2.3,Win32,59.34013767,,,,,,,,,,,,,,,,,,,,,
