start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.009114583,-0.3984375,1,0,0,cont_button,0,0,0,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,217,1,0.014322917,-0.41796875,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,486,1,-0.0078125,-0.397135417,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,760,1,0,-0.403645833,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hiohihio,001,2022-05-16_08h59.45.968,Digit Span Task,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,
