start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.016666641,-0.412037064,1,0,0,cont_button,0,0,0,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,217,1,-0.010185159,-0.424074158,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,486,1,-0.040740715,-0.40833336,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ho,001,2022-01-23_13h41.24.950,Digit Span Task,2021.2.3,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,
