start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.025438368,-0.410295139,1,0,0,cont_button,0,0,0,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,217,1,-0.000737847,-0.407803819,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,486,1,-0.037092014,-0.393368056,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,760,1,-0.016831597,-0.387899306,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,"3401
",0,-0.072252604,-0.37641059,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,lilyb,001,2022-03-29_13h38.27.094,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
