start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.060185185,-0.392592593,1,0,0,cont_button,0,0,0,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,"217
",0,0.016666667,-0.407407407,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,"18
",0,-0.011111111,-0.397222222,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,"760
",0,-0.025925926,-0.426851852,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,mike,001,2022-04-16_13h54.59.296,Digit Span Task,2021.2.3,Win32,60.45949214,,,,,,,,,,,,,,,,,,,,,
