start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.053612595,-0.405921021,1,0,0,cont_button,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,21,0,-0.033180618,-0.404901886,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,486,1,0.023640137,-0.374655609,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,111,0,-0.035723572,-0.383977432,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,3141,1,-0.083553696,-0.402555008,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,"6351
",0,-0.006556778,-0.394024658,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,2391,1,0.072836304,-0.392513504,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,14931,0,0.057344437,-0.404714661,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
,,,,,,0,0,0,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,pap,001,2022-04-25_13h39.06.476,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,
