start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.028703704,-0.399074074,1,0,0,cont_button,0,0,0,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,217,1,0.033333333,-0.373148148,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,486,1,0.082407407,-0.375925926,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,760,1,-0.007407407,-0.412962963,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,3141,1,-0.010185185,-0.394444444,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,6351,1,-0.112962963,-0.402777778,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,pp1,001,2022-05-03_13h48.58.749,Digit Span Task,2021.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,
