start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.040720486,-0.413085938,1,0,0,cont_button,0,0,0,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,0,-0.023702257,-0.382061632,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,0,-0.023702257,-0.382061632,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,0,-0.023702257,-0.382061632,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,0,-0.028771701,-0.412000868,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,0,-0.028771701,-0.412556424,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tmp,001,2022-01-30_11h16.40.579,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
