n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,668.9282836914062,668.4278564453125, 669.4287109375,0.7077109984067997,, 669.4286876698607,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,674.9993896484375,674.4991455078125, 675.4996337890625,0.7074520481695488,, 675.4996157351561,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,722.4033203125,721.90283203125, 722.90380859375,0.7077973151525501,, ,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,727.3541259765625,726.85400390625, 727.8543090820312,0.7073225743676106,, 727.8543008104061,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,987.4979858398438,986.9976806640625, 987.998291015625,0.7075383649152991,, 987.9982843559883,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,991.533447265625,991.0333251953125, 992.0336303710938,0.7073225743676106,, 992.0336281005984,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,1030.1568603515625,1029.65673828125, 1030.656982421875,0.7072794146780482,, 1030.6569253885755,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,1047.3529052734375,1046.8529052734375, 1047.8529052734375,0.7071067811865476,, 1047.8529255035282,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
