n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,283.0457763671875,282.5376281738281, 283.553955078125,0.7186516462546343,, ,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,293.7684326171875,293.2685241699219, 294.26837158203125,0.7069988855836822,, 294.268359731017,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,592.3397216796875,591.8396606445312, 592.8397216796875,0.7071499408764313,, 592.8397471898606,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,598.232177734375,597.7249145507812, 598.7394409179688,0.7173784739308345,, ,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,852.881591796875,852.3814697265625, 853.3816528320312,0.7072362576220209,, 853.3816398584459,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,872.7337036132812,872.2335205078125, 873.23388671875,0.7073657314237985,, 873.2339134254617,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,915.6119384765625,915.1122436523438, 916.1116333007812,0.7066751974577961,, 916.1116330434925,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,922.9014892578125,922.4013671875, 923.401611328125,0.7072794146780482,, 923.4015957665179,0.0, 1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
