digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train_2.started_mean,answ_train_2.started_raw,answ_train_2.started_std,answ_train_2.stopped_raw,answ_train_2.text_raw,firsfixtrain_activa.started_mean,firsfixtrain_activa.started_raw,firsfixtrain_activa.started_std,firsfixtrain_activa.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,post_recall_training_2.started_mean,post_recall_training_2.started_raw,post_recall_training_2.started_std,post_recall_training_2.stopped_raw,recall_train_2.started_mean,recall_train_2.started_raw,recall_train_2.started_std,recall_train_2.stopped_raw,order
2,25,0.75,25,1.0,285.4687194824219,285.4687194824219,0.0,,'52',281.7727355957031,281.7727355957031,0.0,,278.4508972167969,278.4508972167969,0.0,,'space',3.2423160076141357,3.2423160076141357,0.0,278.4508972167969,278.4508972167969,0.0,,289.7919006347656,289.7919006347656,0.0,,285.4687194824219,285.4687194824219,0.0,,0.0
2,68,0.35,86.0,1.0,295.2686462402344,295.2686462402344,0.0,,'86',292.91180419921875,292.91180419921875,0.0,,291.2666931152344,291.2666931152344,0.0,,'space',1.6118420362472534,1.6118420362472534,0.0,291.2666931152344,291.2666931152344,0.0,,298.3880920410156,298.3880920410156,0.0,,295.2686462402344,295.2686462402344,0.0,,1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train_2.started_mean,answ_train_2.started_raw,answ_train_2.started_std,answ_train_2.stopped_raw,answ_train_2.text_raw,firsfixtrain_activa.started_mean,firsfixtrain_activa.started_raw,firsfixtrain_activa.started_std,firsfixtrain_activa.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,post_recall_training_2.started_mean,post_recall_training_2.started_raw,post_recall_training_2.started_std,post_recall_training_2.stopped_raw,recall_train_2.started_mean,recall_train_2.started_raw,recall_train_2.started_std,recall_train_2.stopped_raw,order
2,91,0.55,19,1.0,593.8400268554688,593.8400268554688,0.0,,'19',591.2805786132812,591.2805786132812,0.0,,587.633544921875,587.633544921875,0.0,,'space',3.618511199951172,3.618511199951172,0.0,587.633544921875,587.633544921875,0.0,,595.1959228515625,595.1959228515625,0.0,,593.8400268554688,593.8400268554688,0.0,,0.0
2,47,0.55,74,1.0,599.740234375,599.740234375,0.0,,'74',597.1624755859375,597.1624755859375,0.0,,596.6712646484375,596.6712646484375,0.0,,'space',0.46492472290992737,0.46492472290992737,0.0,596.6712646484375,596.6712646484375,0.0,,600.994140625,600.994140625,0.0,,599.740234375,599.740234375,0.0,,1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train_2.started_raw,answ_train_2.stopped_raw,answ_train_2.text_raw,firsfixtrain_activa.started_mean,firsfixtrain_activa.started_raw,firsfixtrain_activa.started_std,firsfixtrain_activa.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,post_recall_training_2.started_mean,post_recall_training_2.started_raw,post_recall_training_2.started_std,post_recall_training_2.stopped_raw,recall_train_2.started_raw,recall_train_2.stopped_raw,order
2,25,0.75,25,1.0,'854.3817',,'',851.6182861328125,851.6182861328125,0.0,,848.431396484375,848.431396484375,0.0,,'space',3.167717933654785,3.167717933654785,0.0,848.431396484375,848.431396484375,0.0,,855.7042236328125,855.7042236328125,0.0,,'854.3817',,0.0
2,68,0.35,86.0,1.0,874.2340501761242,,'',871.8775634765625,871.8775634765625,0.0,,857.178955078125,857.178955078125,0.0,,'space',14.666910171508789,14.666910171508789,0.0,857.178955078125,857.178955078125,0.0,,874.2337036132812,874.2337036132812,0.0,,874.2340501761242,,1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train_2.started_mean,answ_train_2.started_raw,answ_train_2.started_std,answ_train_2.stopped_raw,answ_train_2.text_raw,firsfixtrain_activa.started_mean,firsfixtrain_activa.started_raw,firsfixtrain_activa.started_std,firsfixtrain_activa.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,post_recall_training_2.started_mean,post_recall_training_2.started_raw,post_recall_training_2.started_std,post_recall_training_2.stopped_raw,recall_train_2.started_mean,recall_train_2.started_raw,recall_train_2.started_std,recall_train_2.stopped_raw,order
2,91,0.55,19,1.0,917.111572265625,917.111572265625,0.0,,'',914.5504150390625,914.5504150390625,0.0,,913.4144287109375,913.4144287109375,0.0,,'space',1.1091011762619019,1.1091011762619019,0.0,913.4144287109375,913.4144287109375,0.0,,917.5861206054688,917.5861206054688,0.0,,917.111572265625,917.111572265625,0.0,,0.0
2,47,0.55,74,1.0,924.4034423828125,924.4034423828125,0.0,,'',921.8416748046875,921.8416748046875,0.0,,919.0614624023438,919.0614624023438,0.0,,'space',2.7622275352478027,2.7622275352478027,0.0,919.0614624023438,919.0614624023438,0.0,,924.8760986328125,924.8760986328125,0.0,,924.4034423828125,924.4034423828125,0.0,,1.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
