n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,187.15174865722656,186.6517333984375, 187.65176391601562,0.7071283603729851,, 187.6517579295687,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,190.98220825195312,190.48220825195312, 191.48219299316406,0.7070959916756481,, 191.48219654982677,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,228.91702270507812,228.41725158691406, 229.41677856445312,0.7067723038791222,, 229.41678531254365,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,233.4442138671875,232.94424438476562, 233.9441680908203,0.707052833302778,, 233.94417444638748,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
