n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,62.572837829589844,62.07285690307617, 63.07282257080078,0.7070825046069503,, 63.072822293928766,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,72.5732650756836,72.07320404052734, 73.07332611083984,0.7071930979322979,, 73.07332602573297,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,133.3048095703125,132.80484008789062, 133.8047637939453,0.707052833302778,, 133.8047589723392,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,137.728759765625,137.22874450683594, 138.228759765625,0.7071175708620832,, 138.22876649341924,0.0, 1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
