digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train.started_mean,answ_train.started_raw,answ_train.stopped_raw,answ_train.text_raw,firstfixtrain.started_mean,firstfixtrain.started_raw,firstfixtrain.started_std,firstfixtrain.stopped_raw,post_recall_training.started_mean,post_recall_training.started_raw,post_recall_training.started_std,post_recall_training.stopped_raw,recall_train.started_mean,recall_train.started_raw,recall_train.stopped_raw,order
2,72,0.75,27.0,1.0,188.65174150799248,188.65174150799248,,'',185.8888397216797,185.8888397216797,0.0,,188.6516571044922,188.6516571044922,0.0,,188.65174150799248,188.65174150799248,,0.0
2,81,0.35,18.0,1.0,192.4824005878927,192.4824005878927,,'',190.12640380859375,190.12640380859375,0.0,,192.4820556640625,192.4820556640625,0.0,,192.4824005878927,192.4824005878927,,1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train.started_mean,answ_train.started_raw,answ_train.started_std,answ_train.stopped_raw,answ_train.text_raw,firstfixtrain.started_mean,firstfixtrain.started_raw,firstfixtrain.started_std,firstfixtrain.stopped_raw,post_recall_training.started_mean,post_recall_training.started_raw,post_recall_training.started_std,post_recall_training.stopped_raw,recall_train.started_mean,recall_train.started_raw,recall_train.started_std,recall_train.stopped_raw,order
2,83,0.55,38.0,1.0,230.41714477539062,230.41714477539062,0.0,,'',227.85789489746094,227.85789489746094,0.0,,230.90867614746094,230.90867614746094,0.0,,230.41714477539062,230.41714477539062,0.0,,0.0
2,16,0.55,61.0,1.0,234.9442138671875,234.9442138671875,0.0,,'',232.38497924804688,232.38497924804688,0.0,,235.5714111328125,235.5714111328125,0.0,,234.9442138671875,234.9442138671875,0.0,,1.0

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
