n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,197.92034912109375,196.92027282714844, 197.92034912109375, 198.92041015625,1.000068664579883,, 197.9203422256178, 198.92041078568946,0.0, 1.0, 2.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,205.36136881510416,204.3613739013672, 205.3614044189453, 206.36134338378906,0.9999847415795916,, 205.36140560468266, 206.3613423816205,0.0, 1.0, 2.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,212.625244140625,211.12521362304688, 212.1251678466797, 213.1252899169922, 214.1253204345703,1.2910515765002244,, 212.12516811587193, 213.12529333037673, 214.12532288921284,0.0, 1.0, 2.0, 3.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,218.9989471435547,217.49916076660156, 218.498779296875, 219.4988250732422, 220.49900817871094,1.2909412722414446,, 218.49878275077936, 219.49882544687352, 220.4990056736533,0.0, 1.0, 2.0, 3.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,255.169189453125,254.16921997070312, 255.16903686523438, 256.1693115234375,1.0000457850979367,, 255.16903137341797, 256.16929945562515,0.0, 1.0, 2.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,order,,
3.0,261.9141845703125,260.91412353515625, 261.9142150878906, 262.9142150878906,1.0000457767164175,, 261.9142264206712, 262.9142223152776,0.0, 1.0, 2.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,269.65447998046875,268.15185546875, 269.1553649902344, 270.15533447265625, 271.1553955078125,1.2923620286463386,, , , ,0.0, 1.0, 2.0, 3.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,pres_text_active.started_mean,pres_text_active.started_raw,,,,pres_text_active.started_std,pres_text_active.stopped_raw,,,,order,,,
4.0,276.7916564941406,275.29107666015625, 276.29119873046875, 277.2915344238281, 278.2928161621094,1.2917115396125582,, 276.2911943411236, 277.2915330361029, ,0.0, 1.0, 2.0, 3.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
