n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,73.86507415771484,73.3648452758789, 74.36530303955078,0.7074304689831112,, 74.36530039165518,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,84.96748352050781,84.46742248535156, 85.46754455566406,0.7071930979322979,, 85.46754563145078,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,129.59811401367188,129.0975341796875, 130.0987091064453,0.7079375799466158,, ,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,digitpresentation_training.started_mean,digitpresentation_training.started_raw,,digitpresentation_training.started_std,digitpresentation_training.stopped_raw,,order,
2.0,137.90701293945312,137.4049530029297, 138.40908813476562,0.7100307610308184,, ,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
