digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train_2.started_mean,answ_train_2.started_raw,answ_train_2.started_std,answ_train_2.stopped_raw,answ_train_2.text_raw,firsfixtrain_activa.started_mean,firsfixtrain_activa.started_raw,firsfixtrain_activa.started_std,firsfixtrain_activa.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,post_recall_training_2.started_mean,post_recall_training_2.started_raw,post_recall_training_2.started_std,post_recall_training_2.stopped_raw,recall_train_2.started_mean,recall_train_2.started_raw,recall_train_2.started_std,recall_train_2.stopped_raw,order
2,91,0.55,19,1.0,180.68246459960938,180.68246459960938,0.0,,'',178.11990356445312,178.11990356445312,0.0,,177.4249267578125,177.4249267578125,0.0,,'space',0.6676843762397766,0.6676843762397766,0.0,177.4249267578125,177.4249267578125,0.0,,181.54664611816406,181.54664611816406,0.0,,180.68246459960938,180.68246459960938,0.0,,0.0
2,47,0.55,74,1.0,186.54708862304688,186.54708862304688,0.0,,'',183.97080993652344,183.97080993652344,0.0,,183.02188110351562,183.02188110351562,0.0,,'space',0.920939564704895,0.920939564704895,0.0,183.02188110351562,183.02188110351562,0.0,,187.3776397705078,187.3776397705078,0.0,,186.54708862304688,186.54708862304688,0.0,,1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿digitSpan_train,digits_train,fixation_time_train,answer_train,n,answ_train_2.started_mean,answ_train_2.started_raw,answ_train_2.started_std,answ_train_2.stopped_raw,answ_train_2.text_raw,firsfixtrain_activa.started_mean,firsfixtrain_activa.started_raw,firsfixtrain_activa.started_std,firsfixtrain_activa.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,post_recall_training_2.started_mean,post_recall_training_2.started_raw,post_recall_training_2.started_std,post_recall_training_2.stopped_raw,recall_train_2.started_mean,recall_train_2.started_raw,recall_train_2.started_std,recall_train_2.stopped_raw,order
2,25,0.75,52,1.0,237.24661254882812,237.24661254882812,0.0,,'',234.4835968017578,234.4835968017578,0.0,,233.48358154296875,233.48358154296875,0.0,,'space',0.974964439868927,0.974964439868927,0.0,233.48358154296875,233.48358154296875,0.0,,246.09844970703125,246.09844970703125,0.0,,237.24661254882812,237.24661254882812,0.0,,0.0
2,68,0.35,86.0,1.0,250.7617645263672,250.7617645263672,0.0,,'',248.3887939453125,248.3887939453125,0.0,,247.57310485839844,247.57310485839844,0.0,,'space',0.786892294883728,0.786892294883728,0.0,247.57310485839844,247.57310485839844,0.0,,251.28692626953125,251.28692626953125,0.0,,250.7617645263672,250.7617645263672,0.0,,1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
