S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,text_go.stopped,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,,,,,816,"['1', '2', '3']",0,"[5.008137599987094, 5.459965899994131, 5.915901499989559, 8.565855399996508]",119.65760310000041,None,3,"['8', '1', '6']",0,"[5.277647700000671, 5.841346499990323, 6.194331799997599, 8.212204499999643]",1,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
4,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '7', '2']","['4', '7', '2', '9']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,1,1,1,,,,,4729,,,,,,4,"['4', '7', '2', '9']",0,"[4.565501399993082, 5.20661409998138, 5.892265599992243, 6.104914799987455, 6.970853499980876]",1,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
6,9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,"['6', '9', '1']","['6', '9', '1', '7']","['6', '9', '1', '7', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,0,2,2,2,,,,,679129,,,,,,5,"['6', '7', '9', '1', '2', '9']",0,"[1.681962199989357, 2.2162487999885343, 2.9924652999907266, 4.387818599992897, 5.404198899981566, 5.653550999981235, 6.4432130999921355]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
7,9,4,1,8,2,0,0,0,0,0,0,0,0,0,0,"['7', '9', '4']","['7', '9', '4', '1']","['7', '9', '4', '1', '8']","['7', '9', '4', '1', '8', '2']",None,None,None,None,None,None,None,None,None,None,,,,,0,3,3,3,,,,,7941,,,,,,5,"['7', '9', '4', '1']",0,"[3.782569399976637, 4.58206329998211, 5.117931299988413, 6.371226299976115, 11.071074299979955]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
5,2,8,4,7,3,9,0,0,0,0,0,0,0,0,0,"['5', '2', '8']","['5', '2', '8', '4']","['5', '2', '8', '4', '7']","['5', '2', '8', '4', '7', '3']","['5', '2', '8', '4', '7', '3', '9']",None,None,None,None,None,None,None,None,None,,,,,0,4,4,4,,,,,5284,,,,,,4,"['5', '2', '8', '4']",0,"[3.3782419999915874, 3.7153637999872444, 4.254400599995279, 4.749754099990241, 5.967698799984646]",1,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
2,5,1,7,4,9,3,8,0,0,0,0,0,0,0,0,"['2', '5', '1']","['2', '5', '1', '7']","['2', '5', '1', '7', '4']","['2', '5', '1', '7', '4', '9']","['2', '5', '1', '7', '4', '9', '3']","['2', '5', '1', '7', '4', '9', '3', '8']",None,None,None,None,None,None,None,None,,,,,0,5,5,5,,,,,254719,,,,,,5,"['2', '5', '4', '7', '1', '9']",0,"[2.923532199987676, 3.2876572999957716, 3.597194199988735, 3.9532654999929946, 5.443122099997709, 5.5833913999958895, 6.197247399992193]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
6,2,5,8,3,9,4,1,7,0,0,0,0,0,0,0,"['6', '2', '5']","['6', '2', '5', '8']","['6', '2', '5', '8', '3']","['6', '2', '5', '8', '3', '9']","['6', '2', '5', '8', '3', '9', '4']","['6', '2', '5', '8', '3', '9', '4', '1']","['6', '2', '5', '8', '3', '9', '4', '1', '7']",None,None,None,None,None,None,None,,,,,0,6,6,6,,,,,52389,,,,,,5,"['5', '2', '3', '8', '9']",0,"[2.2714887999900384, 3.4125082999817096, 4.974104899985832, 5.337703699988197, 7.874830899992958, 8.459431899987976]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
1,7,3,8,4,9,5,2,6,9,0,0,0,0,0,0,"['1', '7', '3']","['1', '7', '3', '8']","['1', '7', '3', '8', '4']","['1', '7', '3', '8', '4', '9']","['1', '7', '3', '8', '4', '9', '5']","['1', '7', '3', '8', '4', '9', '5', '2']","['1', '7', '3', '8', '4', '9', '5', '2', '6']","['1', '7', '3', '8', '4', '9', '5', '2', '6', '9']",None,None,None,None,None,None,,,,,0,7,7,7,,,,,17384,,,,,,4,"['1', '7', '3', '8', '4']",0,"[1.453256099994178, 1.7652955999947153, 2.4736542999889934, 2.757921099997475, 3.2018684999929974, 3.7797563999920385]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
4,9,6,2,5,8,1,7,3,7,4,0,0,0,0,0,"['4', '9', '6']","['4', '9', '6', '2']","['4', '9', '6', '2', '5']","['4', '9', '6', '2', '5', '8']","['4', '9', '6', '2', '5', '8', '1']","['4', '9', '6', '2', '5', '8', '1', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7']","['4', '9', '6', '2', '5', '8', '1', '7', '3', '7', '4']",None,None,None,None,None,,,,,0,8,8,8,,,,,,,,,,,4,None,0,,0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
8,4,1,7,3,6,2,5,9,1,6,3,0,0,0,0,"['8', '4', '1']","['8', '4', '1', '7']","['8', '4', '1', '7', '3']","['8', '4', '1', '7', '3', '6']","['8', '4', '1', '7', '3', '6', '2']","['8', '4', '1', '7', '3', '6', '2', '5']","['8', '4', '1', '7', '3', '6', '2', '5', '9']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6']","['8', '4', '1', '7', '3', '6', '2', '5', '9', '1', '6', '3']",None,None,None,None,,,,,0,9,9,9,,,,,8417,,,,,,3,"['8', '4', '1', '7']",0,"[3.328202099990449, 4.18691239997861, 4.795012599992333, 5.002028999981121, 19.16495499998564]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
