digitSpan,digits,fixation_time,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,firs_fix.started,firs_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,correct,participant,session,date,expName,psychopyVersion,frameRate,
3,489,0.55,0,0,0,0,,,,,23.3590444235233,None,25.91897075722227,25.91897075722227,26.919215025234735,None,489,26.919215025234735,None,1,[7.2889473033865215],[7.288953050869168],1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
3,235,0.55,0,1,1,1,,,,,34.20943744871329,None,36.76938307752425,36.76938307752425,37.768932721199235,None,235,37.768932721199235,None,2,"[7.2889473033865215, 2.9654042594629573]","[7.288953050869168, 2.965409596406971]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
4,6810,0.55,0,2,2,2,,,,,40.73515148106526,None,44.29563655218226,44.29563655218226,45.29603107582079,None,6810,45.29603107582079,None,3,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716]","[7.288953050869168, 2.965409596406971, 4.169697711142362]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
4,3168,0.55,0,3,3,3,,,,,49.466967369487975,None,53.02753495804063,None,54.02783916408953,None,3168,54.02783916408953,None,4,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
5,81423,0.55,0,4,4,4,,,,,56.451602295543125,None,61.01396186709462,None,62.014292757885414,None,81423,62.014292757885414,None,5,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373, 3.0193468478537397]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742, 3.0193546480077202]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
5,90736,0.55,0,5,5,5,,,,,65.03220971414703,None,69.59216642739193,69.59216642739193,70.59269232206134,None,90736,70.59269232206134,None,6,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373, 3.0193468478537397, 5.016884462049347]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742, 3.0193546480077202, 5.016890209531994]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
6,153624,0.55,0,6,6,6,,,,,75.60994708621001,None,81.17126472125528,None,82.17138788160082,None,153624,82.17138788160082,None,7,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373, 3.0193468478537397, 5.016884462049347, 4.140226672512654]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742, 3.0193546480077202, 5.016890209531994, 4.140234472666634]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
6,819703,0.55,0,7,7,7,,,,,86.31200127758348,None,91.87354511712329,None,92.87321833168244,None,819703,92.87321833168244,None,8,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373, 3.0193468478537397, 5.016884462049347, 4.140226672512654, 3.6602063592581544]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742, 3.0193546480077202, 5.016890209531994, 4.140234472666634, 3.6602137488807784]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
7,1026597,0.55,0,8,8,8,,,,,96.53509679787385,None,103.09788127260981,None,104.09685616801289,None,1026597,104.09685616801289,None,9,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373, 3.0193468478537397, 5.016884462049347, 4.140226672512654, 3.6602063592581544, 7.627322136970179]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742, 3.0193546480077202, 5.016890209531994, 4.140234472666634, 3.6602137488807784, 7.627329937124159]",1,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
7,8765312,0.55,0,9,9,9,,,,,111.72557289060205,None,118.28700711744023,None,119.28703051790217,None,87352,119.28703051790217,None,10,"[7.2889473033865215, 2.9654042594629573, 4.169691963659716, 2.4233624498083373, 3.0193468478537397, 5.016884462049347, 4.140226672512654, 3.6602063592581544, 7.627322136970179, 8.162680855828512]","[7.288953050869168, 2.965409596406971, 4.169697711142362, 2.4233706604936742, 3.0193546480077202, 5.016890209531994, 4.140234472666634, 3.6602137488807784, 7.627329937124159, 8.162688655982492]",0,1,001,2022-06-07_22h43.51.609,DigitSpanTask_fwdback,2022.1.3,59.101174574734756,
