digitSpan,digits,fixation_time,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,firs_fix.started,firs_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,correct,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,489,0.55,0,0,0,0,,,,,30.407602852224954,None,32.9670546080597,32.9670546080597,33.966829635166505,None,,33.966829635166505,None,1,[2.118073410951183],[2.1180799795038183],0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
3,235,0.55,0,1,1,1,,,,,36.085876833909424,None,38.64524730391713,38.64524730391713,39.64521692436392,None,,39.64521692436392,None,2,"[2.118073410951183, 0.6262592631974258]","[2.1180799795038183, 0.6262646001487155]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
4,6810,0.55,0,2,2,2,,,,,40.27234159424552,None,43.832274496489845,43.832274496489845,44.83231719207106,None,,44.83231719207106,None,3,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
4,3168,0.55,0,3,3,3,,,,,45.30699480960902,None,48.866352142518735,48.866352142518735,49.866242529809824,None,,49.866242529809824,None,4,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
5,81423,0.55,0,4,4,4,,,,,50.22245057061809,None,54.78221884853701,54.78221884853701,55.78250704374659,None,,55.78250704374659,None,5,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
5,90736,0.55,0,5,5,5,,,,,56.07033317746391,None,60.63031903866067,60.63031903866067,61.630363376381865,None,,61.630363376381865,None,6,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
6,153624,0.55,0,6,6,6,,,,,64.73231715102156,None,70.29198854279821,70.29198854279821,71.29256370160874,None,,71.29256370160874,None,7,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
6,819703,0.55,0,7,7,7,,,,,71.78367829861236,None,77.3432803100659,77.3432803100659,78.34361776940932,None,,78.34361776940932,None,8,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
7,1026597,0.55,0,8,8,8,,,,,79.47914669587044,None,86.03882876154967,86.03882876154967,87.03902581809962,None,,87.03902581809962,None,9,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
7,8765312,0.55,0,9,9,9,,,,,88.00536363296851,None,94.58599363096437,None,95.57063717824349,None,,95.57063717824349,None,10,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
8,93261458,0.55,0,10,10,10,,,,,109.26980695436941,None,116.85056011271081,None,118.02193814148632,None,,118.02193814148632,None,11,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266, 5.81180606844282]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306, 5.811811815925466]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
8,50914738,0.55,0,11,11,11,,,,,123.82979158395756,None,131.3893118990527,131.3893118990527,132.3902351910947,None,,132.3902351910947,None,12,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266, 5.81180606844282, 3.5421690753428265]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306, 5.811811815925466, 3.542174822825473]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
9,431962507,0.55,0,12,12,12,,,,,135.93291004491766,None,144.4940100966851,None,145.49411231977138,None,,145.49411231977138,None,13,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266, 5.81180606844282, 3.5421690753428265, 2.1352850689800107]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306, 5.811811815925466, 3.542174822825473, 2.135290816462657]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
9,901852346,0.55,0,13,13,13,,,,,147.62983419743978,None,156.19044366050366,None,157.19057913688448,None,,157.19057913688448,None,14,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266, 5.81180606844282, 3.5421690753428265, 2.1352850689800107, 0.6266895033259061]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306, 5.811811815925466, 3.542174822825473, 2.135290816462657, 0.6266944297458394]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
10,1946738052,0.55,0,14,14,14,,,,,157.81806671924278,None,167.37854440073716,None,168.3790037888175,None,,168.3790037888175,None,15,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266, 5.81180606844282, 3.5421690753428265, 2.1352850689800107, 0.6266895033259061, 0.7284063995757606]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306, 5.811811815925466, 3.542174822825473, 2.135290816462657, 0.6266944297458394, 0.7284166629397077]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
10,4127509683,0.55,0,15,15,15,,,,,169.1089024812245,None,178.6683842060811,None,179.668417869907,None,,179.668417869907,None,16,"[2.118073410951183, 0.6262592631974258, 0.4735400264908094, 0.35514311437145807, 0.2874554210866336, 3.101436090662901, 0.49012356677121716, 1.1347788799757836, 0.965081579357502, 13.70520791724266, 5.81180606844282, 3.5421690753428265, 2.1352850689800107, 0.6266895033259061, 0.7284063995757606, 1.3889247650440666]","[2.1180799795038183, 0.6262646001487155, 0.47354577397345565, 0.35515173559542745, 0.28746116856927983, 3.101441838145547, 0.4901293142538634, 1.1347842169197975, 0.9650873268401483, 13.705213664725306, 5.811811815925466, 3.542174822825473, 2.135290816462657, 0.6266944297458394, 0.7284166629397077, 1.3889305125267128]",0,,,,,,,1,001,2022-06-07_23h01.12.430,DigitSpanTask_fwdback,2022.1.3,59.19999708243102,
,,,,,,,,,,,,,,,,,,,,,,,,181.09195561793604,None,3.03645833209157,12.84972878039116,181.09195561793604,None,,,,,,,
