instrucciones_pasiva,instrucciones_activa,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_training.thisRepN,trial_training.thisTrialN,trial_training.thisN,trial_training.thisIndex,digitSpan,digits,fixation_time,train_digitloop.thisRepN,train_digitloop.thisTrialN,train_digitloop.thisN,train_digitloop.thisIndex,Bienvenida_img.started,Bienvenida_img.stopped,firstfixtrain.started,firstfixtrain.stopped,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,"instruccion1_activa,png",0,0,0,0,,,,,,,,,,,,56.79405825238791,None,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion2.png,instruccion2.png,0,1,1,1,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion3.png,instruccion3.png,0,2,2,2,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion1_pasiva.png,"instruccion1_activa,png",1,0,3,0,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion2.png,instruccion2.png,1,1,4,1,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion3.png,instruccion3.png,1,2,5,2,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion1_pasiva.png,"instruccion1_activa,png",2,0,6,0,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion2.png,instruccion2.png,2,1,7,1,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
instruccion3.png,instruccion3.png,2,2,8,2,,,,,,,,,,,,,,,,1,001,2022-06-08_19h03.56.540,DigitSpanTask_fwdback,2022.1.3,59.226338389173705,
,,,,,,,,,,,,,,,,,,,98.3569699928048,None,,,,,,,
