instrucciones_pasiva,instrucciones_activa,digitSpan_train,digits_train,fixation_time_train,digitSpan_PF,digits_PF,fixation_time_PF,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_training.thisRepN,trial_training.thisTrialN,trial_training.thisN,trial_training.thisIndex,train_digitloop.thisRepN,train_digitloop.thisTrialN,train_digitloop.thisN,train_digitloop.thisIndex,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop_PF.thisRepN,digitLoop_PF.thisTrialN,digitLoop_PF.thisN,digitLoop_PF.thisIndex,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,Dificultad.started,Dificultad.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,"instruccion1_activa,png",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
instruccion2.png,instruccion2.png,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
instruccion3.png,instruccion3.png,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,2,83,0.55,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,23.43713054462569,None,23.996035468546324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,2,83,0.55,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,24.996046963511617,24.996046963511617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,2,83,0.55,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,26.01318226211879,None,38,26.01318226211879,None,1,[4.963934956555022],[4.963940704037668],0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,2,16,0.55,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,30.962843755914946,None,31.52230618565227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,2,16,0.55,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,32.522488873495604,32.522488873495604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,2,16,0.55,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,33.52261449705111,None,61,33.52261449705111,None,2,"[4.963934956555022, 4.133807144855382]","[4.963940704037668, 4.13381125019805]",0,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,3,489,0.55,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,37.658326111355564,None,41.31898323747737,None,43.87898634110752,43.87898634110752,44.87892886628106,None,984,44.87892886628106,None,1,[2.9309620588173857],[2.930968627362745],,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,3,235,0.55,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,0,,,47.811244046737556,None,50.37069744471228,50.37069744471228,51.37062601171783,None,532,51.37062601171783,None,2,"[2.9309620588173857, 8.13530970105785]","[2.930968627362745, 8.135313806400518]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,4,6810,0.55,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,,,59.507175116363214,None,63.06604514483479,63.06604514483479,64.06669625252835,None,1086,64.06669625252835,None,3,"[2.9309620588173857, 8.13530970105785, 12.371297235586098]","[2.930968627362745, 8.135313806400518, 12.371301340928767]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,4,3168,0.55,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,,,76.43980066088261,None,79.99990680867631,None,81.01694768435846,None,8613,81.01694768435846,None,4,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,5,81423,0.55,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,,,85.1859979826404,None,89.74661811960686,89.74661811960686,90.7466378252575,None,3241,90.7466378252575,None,5,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,5,90736,0.55,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,,,109.56113864202052,None,114.12083014998643,114.12083014998643,115.12103746990033,None,36709,115.12103746990033,None,6,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,6,153624,0.55,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,,,130.18990914462483,None,135.74937567969027,135.74937567969027,136.7493855325156,None,426351,136.7493855325156,None,7,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,6,819703,0.55,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,,,147.70164694117557,None,153.2626891075779,153.2626891075779,154.2785574968002,None,307918,154.2785574968002,None,8,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,7,1026597,0.55,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,,,168.93990596297954,None,175.5006894926628,None,176.50049982573546,None,,176.50049982573546,None,9,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,7,8765312,0.55,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,1,,,177.94118436734425,None,184.50174087146297,None,185.5026460999943,None,8765312,185.5026460999943,None,10,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,8,93261458,0.55,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,0,,,192.1119071830908,None,199.67280771509104,None,200.67303350905422,None,93261485,200.67303350905422,None,11,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834, 8.897934149455978]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552, 8.897938254798646]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,8,50914738,0.55,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,0,,,209.57147713180166,None,217.13195235008607,None,218.13194331832347,None,,218.13194331832347,None,12,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834, 8.897934149455978, 0.8800451095303288]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552, 8.897938254798646, 0.8800492148729973]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,9,431962507,0.55,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,0,,,219.0131921149441,None,227.57320548195275,227.57320548195275,228.57322929294605,None,,228.57322929294605,None,13,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834, 8.897934149455978, 0.8800451095303288, 0.5246905699023046]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552, 8.897938254798646, 0.8800492148729973, 0.5246950857836055]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,9,901852346,0.55,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,0,,,229.09854592793272,None,237.65898953506257,None,238.65882039486314,None,,238.65882039486314,None,14,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834, 8.897934149455978, 0.8800451095303288, 0.5246905699023046, 0.5582940486056032]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552, 8.897938254798646, 0.8800492148729973, 0.5246950857836055, 0.5582985644869041]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,10,1946738052,0.55,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,0,,,239.2183025302511,None,248.77776044410712,248.77776044410712,249.7778170978563,None,,249.7778170978563,None,15,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834, 8.897934149455978, 0.8800451095303288, 0.5246905699023046, 0.5582940486056032, 0.6250178069312824]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552, 8.897938254798646, 0.8800492148729973, 0.5246950857836055, 0.5582985644869041, 0.6250223228125833]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,10,4127509683,0.55,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,0,,,250.4049195988773,None,259.9649009441928,259.9649009441928,260.9650228729297,None,,260.9650228729297,None,16,"[2.9309620588173857, 8.13530970105785, 12.371297235586098, 4.1855607634206535, 18.8136214519036, 15.067724230859312, 10.951531478349352, 14.660591030071373, 1.439922179095447, 6.6085048785898834, 8.897934149455978, 0.8800451095303288, 0.5246905699023046, 0.5582940486056032, 0.6250178069312824, 0.3711322007147828]","[2.930968627362745, 8.135313806400518, 12.371301340928767, 4.185564868763322, 18.813626788847614, 15.067728746740613, 10.951566373783862, 14.660595956476755, 1.439926694962196, 6.608508983932552, 8.897938254798646, 0.8800492148729973, 0.5246950857836055, 0.5582985644869041, 0.6250223228125833, 0.3711363060720032]",,,,,,,1,001,2022-06-08_19h46.32.589,DigitSpanTask_fwdback,2022.1.3,58.87333713677806,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.3884042073187,None,2.953125,0.1849379826162476,261.3884042073187,None,,,,,,,
