start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.008333333,-0.392592593,1,0,0,cont_button,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,217,1,0.089814815,-0.380555556,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,"486
",0,0.076851852,-0.423148148,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,760,1,0.016666667,-0.431481481,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,"3141
",0,0.109259259,-0.394444444,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,6351,1,-0.069444444,-0.415740741,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,2391,1,0.016666667,-0.410185185,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-04-27_15h11.45.753,Digit Span Task,2021.2.3,Win32,164.6361541,,,,,,,,,,,,,,,,,,,,,
