condition_file,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,instructions.started,instructions.stopped,cont_button_2.started,cont_button_2.stopped,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,start_mouse.started,start_mouse.stopped,fixation.started,fixation.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,cont_button.started,cont_button.stopped,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,feedback_text.started,feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,669.0163495356246,None,669.0163495356246,None,0.061197918,-0.4127604,1,0,0,cont_button,0.008490017036820063,None,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,3,217,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,675.781380947672,676.7813423574298,676.7645707923621,None,677.7645753082397,None,217,677.7645753082397,None,677.7645753082397,None,1,0.049479168,-0.40885416,1,0,0,cont_button,0.015443732350831851,None,686.0193029206675,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,3,486,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,690.9864478463169,691.9855409756528,691.9685772804478,690.9864478463169,692.9685062579847,None,486,692.9685062579847,None,692.9685062579847,None,1,0.044270832,-0.40625,1,0,0,cont_button,0.01505290352361044,None,695.8333217699474,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,3,760,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,700.7995117923965,701.7995914360872,701.7825394759711,700.7995117923965,702.7827041002965,None,760,702.7827041002965,None,702.7827041002965,None,1,0.046875,-0.40625,1,0,0,cont_button,0.015435932196851354,None,705.4099256563131,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,4,3141,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,712.3591692260088,713.3591220145427,713.3423200699217,712.3591692260088,714.3429551667614,None,3141,714.3429551667614,None,714.3429551667614,None,1,0.057291668,-0.40885416,1,0,0,cont_button,0.014409185459953733,None,716.7665532633582,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,4,6351,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,723.7170263838198,724.7165444163402,724.7000881417516,723.7170263838198,725.700354168097,None,6351,725.700354168097,None,725.700354168097,None,1,0.057291668,-0.40885416,1,0,0,cont_button,0.01554800810845336,None,728.1244223266731,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,4,2391,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,735.0738329839005,736.0745854935994,736.0566500632849,735.0738329839005,737.0570265234019,None,5291,737.0570265234019,None,737.0570265234019,None,0,0.057291668,-0.40885416,1,0,0,cont_button,0.015130494542972883,None,740.8029980511928,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,5,14932,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,749.7363440837253,750.7370452766154,750.7207626581112,749.7363440837253,751.7198496294332,None,14932,751.7198496294332,None,751.7198496294332,None,1,0.057291668,-0.40625,1,0,0,cont_button,0.014667001116322353,None,755.7370391185977,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,5,10646,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,764.670162230912,765.670153609688,765.6532991166532,764.670162230912,766.65446462404,None,99999,766.65446462404,None,766.65446462404,None,0,0.04296875,-0.40364584,1,0,0,cont_button,0.01496381754623144,None,770.0611782585875,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
three.xlsx,5,74832,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,778.9942820757788,779.9949270254438,779.977142671818,778.9942820757788,780.9770117113185,None,99999,780.9770117113185,None,780.9770117113185,None,0,0.0390625,-0.3997396,1,0,0,cont_button,0.015108736217371188,None,784.1806331180633,None,2,001,2022-06-07_16h48.08.289,Digit Span Task,2022.1.3,58.92261210826863,
