start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.005787037,-0.394675926,1,0,0,cont_button,0,0,0,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,217,1,-0.006944444,-0.398148148,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,486,1,0.085648148,-0.390046296,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,760,1,-0.048611111,-0.400462963,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,AS,001,2022-04-14_12h20.15.666,Digit Span Task,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,
