start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
2.6491E-08,-0.403703731,1,0,0,cont_button,0,0,0,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,217,1,-0.070370289,-0.365740823,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,486,1,0.113888919,-0.418518602,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,"760
",0,-0.061111086,-0.409259286,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,3141,1,0.010185268,-0.412037064,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,B,001,2022-03-28_23h36.24.313,Digit Span Task,2021.2.3,Win32,60.48874909,,,,,,,,,,,,,,,,,,,,,
