start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.015610652,-0.404499541,1,0,0,cont_button,0,0,0,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,"217
",0,-0.062442608,-0.389807163,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,486,1,0.025711662,-0.399908173,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Carex,001,2022-03-11_08h28.28.357,Digit Span Task,2021.2.3,Win32,59.75143403,,,,,,,,,,,,,,,,,,,,,
