start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
-0.039814815,-0.392592593,1,0,0,cont_button,0,0,0,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,,,,,,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,217,1,0.007407407,-0.427777778,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,,,,,,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,486,1,-0.014814815,-0.389814815,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,E300001,001,2022-04-30_10h35.14.138,Digit Span Task,2021.2.3,Win32,60.54734803,,,,,,,,,,,,,,,
