start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.032407407,-0.389814815,1,0,0,cont_button,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,"217
",0,-0.105555556,-0.385185185,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,486,1,-0.036111111,-0.42037037,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,760,1,0.008333333,-0.405555556,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,3141,1,-0.012037037,-0.37962963,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,6351,1,-0.096296296,-0.396296296,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,2391,1,-0.072222222,-0.410185185,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,14932,1,-0.027777778,-0.385185185,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,10646,1,-0.078703704,-0.369444444,1,0,0,cont_button,0,1,1,1,1,5,10646,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,74832,1,-0.049074074,-0.412962963,1,0,0,cont_button,0,2,2,2,1,5,74832,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,0,2,2,2,1,five.xlsx
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,934648,1,-0.076851852,-0.378703704,1,0,0,cont_button,0,0,0,0,1,6,934648,,,,,,
,,,,,,0,0,0,0,1,Johar,001,2022-05-08_13h49.17.070,Digit Span Task,2021.2.3,Win32,143.9884809,,,,,,,,,,,,,,,,,,,,,
