start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.076388889,-0.403935185,1,0,0,cont_button,0,0,0,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,217,1,0.05787037,-0.393518519,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,486,1,-0.025462963,-0.390046296,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,M,001,2022-03-17_16h43.00.949,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,
