start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.0575,-0.375,1,0,0,cont_button,0,0,0,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,217,1,0.0575,-0.37625,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,499,0,0.0575,-0.37625,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-20_19h55.06.080,Digit Span Task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,,,
