start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.059259259,-0.39537037,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,217,1,0.000925926,-0.390740741,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,226,0,0.019444444,-0.388888889,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-26_15h44.05.923,Digit Span Task,2021.2.3,Win32,74.13447995,,,,,,,,,,,,,,,,,,,,,
