start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.003703704,-0.406481481,1,0,0,cont_button,0,0,0,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,"217
",0,-0.007407407,-0.402777778,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,486,1,0.02962963,-0.380555556,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,760,1,0.025925926,-0.415740741,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,athy,001,2022-02-28_14h15.57.334,Digit Span Task,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,
