start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.048148219,-0.398148162,1,0,0,cont_button,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,217,1,0.047222236,-0.399074087,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,486,1,-0.050925913,-0.42592594,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,760,1,0.033333347,-0.401851865,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,3141,1,-0.04259258,-0.401851865,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,6351,1,-0.048148136,-0.411111125,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,2222,0,0.050000014,-0.408333347,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,diana,001,2022-04-25_11h49.47.830,Digit Span Task,2021.2.3,Win32,60.32818533,,,,,,,,,,,,,,,,,,,,,
