start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.068518519,-0.407407407,1,0,0,cont_button,0,0,0,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,0,0.011111111,-0.412962963,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,0,0.009259259,-0.410185185,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hafeman,001,2022-04-26_16h02.44.134,Digit Span Task,2021.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,
