start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.03125,-0.40234375,1,0,0,cont_button,0,0,0,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,,,,,,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,217,1,-0.1015625,-0.399739583,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,,,,,,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,486,1,-0.015625,-0.388020833,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,hbhb,001,2022-04-13_10h41.40.076,Digit Span Task,2021.2.3,Win32,59.90534955,,,,,,,,,,,,,,,
