start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.088401487,-0.380026613,1,0,0,cont_button,0,0,0,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,0,-0.015952122,-0.386008667,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,18,0,0.03921571,-0.419242301,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,13,0,0.033233656,-0.400631466,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,"9
",0,0.035227674,-0.36673316,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,1,0,0.011299458,-0.373379886,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,j,001,2022-03-21_18h20.20.927,Digit Span Task,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,
