start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.040740741,-0.410185185,1,0,0,cont_button,0,0,0,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,"217
",0,-0.002777778,-0.40462963,1,0,1,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,876,0,0.017592593,-0.37962963,1,0,1,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,"760
",0,0.082407407,-0.414814815,1,0,1,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,ley,001,2022-03-14_16h50.45.015,Digit Span Task,2021.2.3,MacIntel,73.6377025,,,,,,,,,,,,,,,,,,,,,
