start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.030555486,-0.388888902,1,0,0,cont_button,0,0,0,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,217,1,0.002777791,-0.405555569,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,486,1,-0.009259246,-0.4046297,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,q,001,2022-02-26_24h02.09.597,Digit Span Task,2021.2.3,Win32,62.27037798,,,,,,,,,,,,,,,,,,,,,
