start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.041666667,-0.404166667,1,0,0,cont_button,0,0,0,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,217,1,0.04,-0.396666667,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,486,1,0.063333333,-0.414166667,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,"760
",0,0.038333333,-0.390833333,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,3141,1,0.05,-0.405,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,re,001,2022-01-21_10h49.57.602,Digit Span Task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,
