start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.069174739,-0.416922651,1,0,0,cont_button,0,0,0,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,217,1,0.077592741,-0.390742438,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,486,1,0.111717442,-0.39921123,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,"760
",0,0.058236422,-0.367098945,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,3141,1,0.043407549,-0.391941561,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,6351,1,0.043407549,-0.39238799,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tes,001,2022-02-02_08h46.07.619,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
