start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.031783854,-0.416119792,1,0,0,cont_button,0,0,0,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,"217
",0,0.015924479,-0.392131076,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,486,1,-0.051640625,-0.377860243,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,670,0,-0.074887153,-0.406644965,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,3141,1,0.005143229,-0.409171007,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,tghfjgykuh,001,2022-05-19_17h41.25.011,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,
