start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.016927083,-0.389322917,1,0,0,cont_button,0,0,0,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,217,1,-0.0390625,-0.411458333,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,486,1,-0.0390625,-0.411458333,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,760,1,-0.0390625,-0.411458333,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,zoe,001,2022-04-08_12h59.52.097,Digit Span Task,2021.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,
